content,sentiment
It is so annoying when she starts typing on her computer in the middle of the night!,anger
dammit! hulu desktop has totally screwed up my ability to talk to a particular port on one of our dev servers. so i can't watch and code,anger
@ cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS,anger
 You win ... SIGH Rakeem,anger
" Damn, that sucks",anger
 THIS WEBSITE GAVE ME A VIRUS! When i opened it more windows kept POPPING up,anger
 Waraku is tasteless and expensive! Portion is so little!!!!!  re: waraku,anger
  youstinkatrespondingtotexts!,anger
don't you hate it when you finish all your work and there's still 1.25 hours left of work time,anger
 Umm yeah. That's probably a pretty good note to self because eeeeeewwwwwwww.,anger
 im doing that shit right now ... im on vacation and you got me workin,anger
would wish the severe migrains would stop!!! doc's prescriptions arent working,anger
 cuz airlines are super lame.,anger
I'm so very tired...and have insomnia.,anger
"I hate Bakersfield and I hate the Ports, let me go home already.  I want to start my vacation.",anger
I hate the new mt dew commercial..the one with a giant mosquito..it scares me and grosses me out all at the same time.,anger
"i HATE when i see pregnant women smokinggg!!!! its sooo irresponsible n selfish! its saaad. ultimately, the baby is the one who suffers.",anger
Lies...lies...lies....you just cant avoid to lie about practically...EVERYTHING!,anger
  hahaha well its try its so ugly,anger
I hate when my bf beats da dogs. But I guess that the only way to teach these pitts.,anger
think i may have broke a toe at the bar tonight......thanks drunk girl for steppin all over me!!!!!,anger
my roommate  loves to ignore me,anger
" Maths and Science were the strongest for me i think..dunno bout geography, only did like 1 day of study for 1/2 a year of work!",anger
" Hahahaha! It's not horrible, if others were singing with I'm sure it could work. I wish I could afford my own drum set",anger
aarrgghh - fu*k.....a hose has leaked water all over the new floating floor,anger
 ohhhh thunderstorms...boo  why do they always have to make the power go out??,anger
"RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80'S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK",anger
I have to work in the morning while my friends get to party it up.....stupid bberry lite flashing red and I have no messages!,anger
 Those suck so bad.,anger
At Charle's with the power out. LOL! Damn SaveMart lost power and we could not buy beer.,anger
hates the net. ayaw bumukas ng twitter.  ,anger
on jacksonville beach walking in the cold Ass water   but have to work in the morning   ily &lt;('-')&gt;,anger
  I am not a pussy! damnit!  [sending you an e-mail right now btw],anger
fuckin'm transtelecom,anger
 Hey! That's my school! I hate that place.,anger
Working   But it's Fridaaaayyyyy,anger
"plan may changes , nooooooo",anger
my sister is a douchebag,anger
time for tv in bed.Then spending all day catching up on studying  i hate online summer classes,anger
